2015-02-20 07:52:23,363 -  INFO - org.springframework.web.context.ContextLoader - initWebApplicationContext - Root WebApplicationContext: initialization started
2015-02-20 08:08:03,820 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [created_by, parent_node, modified_on, node_level, node_code, modified_by, status, created_on, description, expiration_date, effective_date, node_type]
2015-02-20 08:08:03,824 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 08:08:03,824 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier18]
2015-02-20 08:08:03,856 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.LANGUAGES
2015-02-20 08:08:03,856 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [language, lang_code]
2015-02-20 08:08:03,860 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 08:08:03,864 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier_lang]
2015-02-20 08:08:03,889 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.PRODUCT
2015-02-20 08:08:03,889 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [created_by, modified_on, modified_by, created_on, description, product_code]
2015-02-20 08:08:03,889 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 08:08:03,889 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier24]
2015-02-20 08:08:03,935 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.RESOURCES
2015-02-20 08:08:03,935 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [modified_on, resource_id, sequence_no, resource_desc, modified_by, created_on, locale, resource_type, created_ by, module_code, url]
2015-02-20 08:08:03,939 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 08:08:03,939 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier9]
2015-02-20 08:08:03,976 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES
2015-02-20 08:08:03,976 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [created_by, modified_on, status, modified_by, role_code, product_code, created_on, role_desc]
2015-02-20 08:08:03,980 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [depends on]
2015-02-20 08:08:03,980 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier8]
2015-02-20 08:08:04,009 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES_GROUP_ROLES
2015-02-20 08:08:04,009 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [role_code, product_code, group_role_code]
2015-02-20 08:08:04,009 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [is part of_group_roles, is part of_roles]
2015-02-20 08:08:04,009 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: []
2015-02-20 08:08:04,042 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES_HIERARCHY
2015-02-20 08:08:04,042 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [node_code, role_code, product_code]
2015-02-20 08:08:04,046 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [superset_roles, superset_hierarchy]
2015-02-20 08:08:04,046 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: []
2015-02-20 08:08:04,070 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES_RESOURCES
2015-02-20 08:08:04,070 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [resource_id, role_code, product_code]
2015-02-20 08:08:04,074 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [relationship10_roles]
2015-02-20 08:08:04,074 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: []
