2015-02-17 20:48:06,900 -  INFO - org.springframework.context.support.AbstractApplicationContext - prepareRefresh - Refreshing Root WebApplicationContext: startup date [Tue Feb 17 20:48:06 IST 2015]; root of context hierarchy
2015-02-17 20:48:06,947 -  INFO - org.springframework.beans.factory.xml.XmlBeanDefinitionReader - loadBeanDefinitions - Loading XML bean definitions from URL [file:/C:/Users/Manas%20Ranjan/workspace/MessMaster/target/classes/mess-ApplicationContext.xml]
2015-02-17 20:48:07,427 -  INFO - org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-02-17 20:48:07,600 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.customerLogin(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2015-02-17 20:48:07,600 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login/test],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.viewAdmin(java.util.Map,java.lang.Long,java.util.Locale,javax.servlet.http.HttpServletRequest)
2015-02-17 20:48:07,601 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.doCustomerLogin(java.util.Map,javax.servlet.http.HttpServletRequest,java.util.Locale,com.mrptech.mess.dto.AuthenticationDto)
2015-02-17 20:48:08,127 -  INFO - org.springframework.web.servlet.handler.AbstractUrlHandlerMapping - registerHandler - Mapped URL path [/login] onto handler 'loginController'
2015-02-17 20:48:08,128 -  INFO - org.springframework.web.servlet.handler.AbstractUrlHandlerMapping - registerHandler - Mapped URL path [/login/*] onto handler 'loginController'
2015-02-17 20:48:08,133 -  INFO - org.springframework.web.context.ContextLoader - initWebApplicationContext - Root WebApplicationContext: initialization completed in 1345 ms
2015-02-17 20:48:08,149 -  INFO - org.springframework.web.servlet.FrameworkServlet - initServletBean - FrameworkServlet 'mess': initialization started
2015-02-17 20:48:08,152 -  INFO - org.springframework.context.support.AbstractApplicationContext - prepareRefresh - Refreshing WebApplicationContext for namespace 'mess-servlet': startup date [Tue Feb 17 20:48:08 IST 2015]; parent: Root WebApplicationContext
2015-02-17 20:48:08,154 -  INFO - org.springframework.beans.factory.xml.XmlBeanDefinitionReader - loadBeanDefinitions - Loading XML bean definitions from ServletContext resource [/WEB-INF/mess-servlet.xml]
2015-02-17 20:48:08,284 -  INFO - org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-02-17 20:48:08,306 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.customerLogin(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2015-02-17 20:48:08,307 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login/test],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.viewAdmin(java.util.Map,java.lang.Long,java.util.Locale,javax.servlet.http.HttpServletRequest)
2015-02-17 20:48:08,309 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.doCustomerLogin(java.util.Map,javax.servlet.http.HttpServletRequest,java.util.Locale,com.mrptech.mess.dto.AuthenticationDto)
2015-02-17 20:48:08,493 -  INFO - org.apache.tiles.access.TilesAccess - setContainer - Publishing TilesContext for context: org.springframework.web.servlet.view.tiles2.SpringWildcardServletTilesApplicationContext
2015-02-17 20:48:08,539 -  INFO - org.springframework.web.servlet.FrameworkServlet - initServletBean - FrameworkServlet 'mess': initialization completed in 390 ms
2015-02-17 20:48:29,176 -  WARN - org.springframework.web.servlet.DispatcherServlet - noHandlerFound - No mapping found for HTTP request with URI [/MessMaster/mess/test] in DispatcherServlet with name 'mess'
2015-02-17 20:48:36,424 -  WARN - org.springframework.web.servlet.DispatcherServlet - noHandlerFound - No mapping found for HTTP request with URI [/MessMaster/mess/test] in DispatcherServlet with name 'mess'
2015-02-17 20:48:51,547 -  WARN - org.springframework.web.servlet.DispatcherServlet - noHandlerFound - No mapping found for HTTP request with URI [/MessMaster/mess/login/login/test] in DispatcherServlet with name 'mess'
2015-02-17 20:52:10,530 -  WARN - org.springframework.web.servlet.DispatcherServlet - noHandlerFound - No mapping found for HTTP request with URI [/MessMaster/mess/login/login/test] in DispatcherServlet with name 'mess'
2015-02-17 20:52:28,990 -  WARN - org.springframework.web.servlet.DispatcherServlet - noHandlerFound - No mapping found for HTTP request with URI [/MessMaster/mess/login/login/test] in DispatcherServlet with name 'mess'
2015-02-17 20:53:44,186 -  WARN - org.springframework.web.servlet.DispatcherServlet - noHandlerFound - No mapping found for HTTP request with URI [/MessMaster/mess/login/login/test] in DispatcherServlet with name 'mess'
